adjusted_p_value,ci_high,ci_low,comparison,effect_size,mean_difference,median_difference,metric_name,paired_sample_count,raw_p_value,reason,test_result
,,,csm_vs_long_context,,,,activation_precision,0,,insufficient_paired_observations,N/A
,,,csm_vs_rolling_summary,,,,activation_precision,0,,insufficient_paired_observations,N/A
,,,csm_vs_dense_rag,,,,activation_precision,0,,insufficient_paired_observations,N/A
,,,csm_vs_hybrid_rag,,,,activation_precision,0,,insufficient_paired_observations,N/A
,,,csm_vs_graph_rag,,,,activation_precision,0,,insufficient_paired_observations,N/A
,,,csm_vs_hippo_rag,,,,activation_precision,0,,insufficient_paired_observations,N/A
,,,csm_vs_long_context,,,,activation_recall,0,,insufficient_paired_observations,N/A
,,,csm_vs_rolling_summary,,,,activation_recall,0,,insufficient_paired_observations,N/A
,,,csm_vs_dense_rag,,,,activation_recall,0,,insufficient_paired_observations,N/A
,,,csm_vs_hybrid_rag,,,,activation_recall,0,,insufficient_paired_observations,N/A
,,,csm_vs_graph_rag,,,,activation_recall,0,,insufficient_paired_observations,N/A
,,,csm_vs_hippo_rag,,,,activation_recall,0,,insufficient_paired_observations,N/A
0.7986111111111112,0.10833333333333332,-0.03302083333333333,csm_vs_long_context,0.19896793628322845,0.034166666666666665,0.0,answer_accuracy,20,0.625,,computed
1.0,0.08837499999999995,-0.04833333333333333,csm_vs_rolling_summary,0.10628300005118926,0.01666666666666667,0.0,answer_accuracy,20,1.0,,computed
0.7898351648351648,0.020833333333333336,-0.13416666666666668,csm_vs_dense_rag,-0.27751727716492786,-0.05083333333333333,0.0,answer_accuracy,20,0.625,,computed
1.0,0.08710416666666665,-0.10377083333333333,csm_vs_hybrid_rag,-0.003776267474659154,-0.0008333333333333304,0.0,answer_accuracy,20,1.0,,computed
1.0,0.05916399572649564,-0.06706234737484738,csm_vs_graph_rag,-0.025590212488506882,-0.003922466422466425,0.0,answer_accuracy,20,1.0,,computed
0.859375,0.07767361111111108,-0.0761111111111111,csm_vs_hippo_rag,0.03157462048261313,0.005555555555555558,0.0,answer_accuracy,20,0.6875,,computed
,0.0,0.0,csm_vs_long_context,,0.0,0.0,contradiction_handling,1,,insufficient_paired_observations,N/A
,0.0,0.0,csm_vs_rolling_summary,,0.0,0.0,contradiction_handling,1,,insufficient_paired_observations,N/A
,0.0,0.0,csm_vs_dense_rag,,0.0,0.0,contradiction_handling,1,,insufficient_paired_observations,N/A
,0.0,0.0,csm_vs_hybrid_rag,,0.0,0.0,contradiction_handling,1,,insufficient_paired_observations,N/A
,0.0,0.0,csm_vs_graph_rag,,0.0,0.0,contradiction_handling,1,,insufficient_paired_observations,N/A
,0.0,0.0,csm_vs_hippo_rag,,0.0,0.0,contradiction_handling,1,,insufficient_paired_observations,N/A
,,,csm_vs_long_context,,,,correction_recovery,0,,insufficient_paired_observations,N/A
,,,csm_vs_rolling_summary,,,,correction_recovery,0,,insufficient_paired_observations,N/A
,,,csm_vs_dense_rag,,,,correction_recovery,0,,insufficient_paired_observations,N/A
,,,csm_vs_hybrid_rag,,,,correction_recovery,0,,insufficient_paired_observations,N/A
,,,csm_vs_graph_rag,,,,correction_recovery,0,,insufficient_paired_observations,N/A
,,,csm_vs_hippo_rag,,,,correction_recovery,0,,insufficient_paired_observations,N/A
,0.0,0.0,csm_vs_long_context,,0.0,0.0,decision_f1,1,,insufficient_paired_observations,N/A
,0.0,0.0,csm_vs_rolling_summary,,0.0,0.0,decision_f1,1,,insufficient_paired_observations,N/A
,0.0,0.0,csm_vs_dense_rag,,0.0,0.0,decision_f1,1,,insufficient_paired_observations,N/A
,0.0,0.0,csm_vs_hybrid_rag,,0.0,0.0,decision_f1,1,,insufficient_paired_observations,N/A
,0.0,0.0,csm_vs_graph_rag,,0.0,0.0,decision_f1,1,,insufficient_paired_observations,N/A
,0.0,0.0,csm_vs_hippo_rag,,0.0,0.0,decision_f1,1,,insufficient_paired_observations,N/A
0.7339348591549296,0.17302083333333323,-0.02916666666666666,csm_vs_long_context,0.2817327956525724,0.06666666666666668,0.0,evidence_support_rate,20,0.453125,,computed
0.8501344086021505,0.01906249999999972,-0.15,csm_vs_rolling_summary,-0.29387690682262935,-0.0625,0.0,evidence_support_rate,20,0.6875,,computed
0.9031168619791666,0.03135416666666658,-0.15416666666666665,csm_vs_dense_rag,-0.2737877688119882,-0.05833333333333333,0.0,evidence_support_rate,20,0.75390625,,computed
1.0,0.052083333333333336,-0.14484375,csm_vs_hybrid_rag,-0.18519187045026145,-0.041666666666666664,0.0,evidence_support_rate,20,1.0,,computed
0.3993055555555556,-0.008333333333333331,-0.14670833333333333,csm_vs_graph_rag,-0.43980829933139637,-0.07166666666666666,0.0,evidence_support_rate,20,0.21875,,computed
0.7237413194444444,0.014583333333333337,-0.14375,csm_vs_hippo_rag,-0.355619015707836,-0.06458333333333333,0.0,evidence_support_rate,20,0.453125,,computed
0.6369280133928571,0.05211369047619044,-0.01641369047619049,csm_vs_long_context,0.2709861269676167,0.018714285714285687,0.03124999999999996,expected_calibration_error,14,0.3876953125,,computed
0.11375690328663793,-0.02552421875000004,-0.2237684895833334,csm_vs_rolling_summary,-0.5094119100832449,-0.10706250000000002,-0.050000000000000044,expected_calibration_error,16,0.057373046875,,computed
0.021142726991234755,0.13950635964912272,-0.10124934210526321,csm_vs_dense_rag,0.10796082362242655,0.028701754385964853,0.04999999999999993,expected_calibration_error,19,0.007537841796875,,computed
1.0,0.10908101851851847,-0.14981944444444448,csm_vs_hybrid_rag,-0.035426058844692104,-0.010675925925925946,-0.0,expected_calibration_error,18,1.0,,computed
0.5029296875,-0.0023574929971989216,-0.0755905112044818,csm_vs_graph_rag,-0.445028812392582,-0.036478991596638685,-0.050000000000000044,expected_calibration_error,17,0.3017578125,,computed
0.2309146169888771,-0.015540046296296324,-0.15195347222222225,csm_vs_hippo_rag,-0.47265270827561706,-0.07155555555555557,-0.024999999999999967,expected_calibration_error,18,0.11846923828125,,computed
,0.0,0.0,csm_vs_long_context,,0.0,-0.0,fabricated_citation_rate,16,,,computed
,0.0,0.0,csm_vs_rolling_summary,,0.0,-0.0,fabricated_citation_rate,19,,,computed
,0.028708133971291863,0.0,csm_vs_dense_rag,0.22941573387056174,0.009569377990430622,-0.0,fabricated_citation_rate,19,,,computed
,0.0,0.0,csm_vs_hybrid_rag,,0.0,-0.0,fabricated_citation_rate,19,,,computed
,0.0,0.0,csm_vs_graph_rag,,0.0,-0.0,fabricated_citation_rate,19,,,computed
,0.0,0.0,csm_vs_hippo_rag,,0.0,-0.0,fabricated_citation_rate,19,,,computed
0.7138270547945206,0.17302083333333323,-0.02916666666666666,csm_vs_long_context,0.2817327956525724,0.06666666666666668,0.0,faithfulness,20,0.453125,,computed
0.8410904255319149,0.01906249999999972,-0.15,csm_vs_rolling_summary,-0.29387690682262935,-0.0625,0.0,faithfulness,20,0.6875,,computed
0.8938063788659794,0.03135416666666658,-0.15416666666666665,csm_vs_dense_rag,-0.2737877688119882,-0.05833333333333333,0.0,faithfulness,20,0.75390625,,computed
1.0,0.052083333333333336,-0.14484375,csm_vs_hybrid_rag,-0.18519187045026145,-0.041666666666666664,0.0,faithfulness,20,1.0,,computed
0.39306640625,-0.008333333333333331,-0.14670833333333333,csm_vs_graph_rag,-0.43980829933139637,-0.07166666666666666,0.0,faithfulness,20,0.21875,,computed
0.7041807432432432,0.014583333333333337,-0.14375,csm_vs_hippo_rag,-0.355619015707836,-0.06458333333333333,0.0,faithfulness,20,0.453125,,computed
0.6947916666666667,0.17302083333333323,-0.02916666666666666,csm_vs_long_context,0.2817327956525724,0.06666666666666668,0.0,groundedness,20,0.453125,,computed
