applicable,audit_file,calculation_reason,denominator,metric_name,numerator,observation_value,patient,question_id,question_number,reason_not_applicable,system,turn_id
True,latency_definition_audit.csv,stored_provider_generation_latency_ms_excludes_external_request_delay_column,1,provider_generation_latency_ms,5125,5125,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
True,latency_definition_audit.csv,stored_retrieval_or_csm_activation_duration_ms,1,retrieval_activation_latency_ms,8,8,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
True,latency_definition_audit.csv,primary_processing_latency_excludes_intentional_request_delay_and_quota_backoff,1,processing_latency_ms,5125,5125,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
True,latency_definition_audit.csv,retrieval_plus_provider_generation_latency_without_configured_request_delay,1,operational_wall_clock_latency_ms,5133,5133,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
True,latency_definition_audit.csv,stored_llm_call_processing_duration_ms,1,p95_latency,5125,5125,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
True,latency_definition_audit.csv,stored_provider_generation_latency_ms_excludes_external_request_delay_column,1,provider_generation_latency_ms,22982,22982,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,dense_rag,43e37bd1-1c5c-4eaf-b378-5358d50168eb
True,latency_definition_audit.csv,stored_retrieval_or_csm_activation_duration_ms,1,retrieval_activation_latency_ms,43,43,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,dense_rag,43e37bd1-1c5c-4eaf-b378-5358d50168eb
True,latency_definition_audit.csv,primary_processing_latency_excludes_intentional_request_delay_and_quota_backoff,1,processing_latency_ms,22982,22982,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,dense_rag,43e37bd1-1c5c-4eaf-b378-5358d50168eb
True,latency_definition_audit.csv,retrieval_plus_provider_generation_latency_without_configured_request_delay,1,operational_wall_clock_latency_ms,23025,23025,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,dense_rag,43e37bd1-1c5c-4eaf-b378-5358d50168eb
True,latency_definition_audit.csv,stored_llm_call_processing_duration_ms,1,p95_latency,22982,22982,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,dense_rag,43e37bd1-1c5c-4eaf-b378-5358d50168eb
True,latency_definition_audit.csv,stored_provider_generation_latency_ms_excludes_external_request_delay_column,1,provider_generation_latency_ms,38690,38690,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,rolling_summary,55bad451-029e-400b-9b0a-c1239952e0a5
True,latency_definition_audit.csv,stored_retrieval_or_csm_activation_duration_ms,1,retrieval_activation_latency_ms,17,17,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,rolling_summary,55bad451-029e-400b-9b0a-c1239952e0a5
True,latency_definition_audit.csv,primary_processing_latency_excludes_intentional_request_delay_and_quota_backoff,1,processing_latency_ms,38690,38690,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,rolling_summary,55bad451-029e-400b-9b0a-c1239952e0a5
True,latency_definition_audit.csv,retrieval_plus_provider_generation_latency_without_configured_request_delay,1,operational_wall_clock_latency_ms,38707,38707,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,rolling_summary,55bad451-029e-400b-9b0a-c1239952e0a5
True,latency_definition_audit.csv,stored_llm_call_processing_duration_ms,1,p95_latency,38690,38690,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,rolling_summary,55bad451-029e-400b-9b0a-c1239952e0a5
True,latency_definition_audit.csv,stored_provider_generation_latency_ms_excludes_external_request_delay_column,1,provider_generation_latency_ms,127715,127715,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,csm,7ff75fd3-a4e2-4617-a1ea-6968256a4cfd
True,latency_definition_audit.csv,stored_retrieval_or_csm_activation_duration_ms,1,retrieval_activation_latency_ms,34,34,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,csm,7ff75fd3-a4e2-4617-a1ea-6968256a4cfd
True,latency_definition_audit.csv,primary_processing_latency_excludes_intentional_request_delay_and_quota_backoff,1,processing_latency_ms,127715,127715,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,csm,7ff75fd3-a4e2-4617-a1ea-6968256a4cfd
