metric_name,direction,csm_v2_value,csm_v2_n,csm_v3_value,csm_v3_n,absolute_difference,relative_difference_percent,verdict
state_accuracy,higher_is_better,0.041666666666666664,12,0.0,12,-0.041666666666666664,-100.0,regressed
temporal_consistency,higher_is_better,0.5,22,0.4848484848484848,22,-0.015151515151515194,-3.0303030303030387,regressed
decision_f1,higher_is_better,0.0,3,0.0,3,0.0,NULL,unchanged
answer_accuracy,higher_is_better,0.1392506690454951,59,0.1054563492063492,56,-0.033794319839145895,-24.268694772378314,regressed
hallucination_rate,lower_is_better,0.05084745762711865,59,0.11607142857142858,56,0.06522397094430993,128.27380952380952,regressed
evidence_support_rate,higher_is_better,0.564366424535916,59,0.5044642857142857,56,-0.05990213882163031,-10.614050768680725,regressed
unsupported_claim_rate,lower_is_better,0.05084745762711865,59,0.11607142857142858,56,0.06522397094430993,128.27380952380952,regressed
fabricated_citation_rate,lower_is_better,0.0,57,0.006666666666666666,50,0.006666666666666666,NULL,regressed
faithfulness,higher_is_better,0.564366424535916,59,0.5044642857142857,56,-0.05990213882163031,-10.614050768680725,regressed
groundedness,higher_is_better,0.564366424535916,59,0.5044642857142857,56,-0.05990213882163031,-10.614050768680725,regressed
expected_calibration_error,lower_is_better,0.0986269841269841,54,0.1389455782312925,49,0.040318594104308395,40.87988136431044,regressed
lineage_citation_f1,higher_is_better,0.1409016422174317,57,0.0775054945054945,50,-0.0633961477119372,-44.99319292113554,regressed
contradiction_handling,higher_is_better,0.0,1,0.0,1,0.0,NULL,unchanged
correction_recovery,higher_is_better,0.391304347826087,23,0.2826086956521739,23,-0.10869565217391308,-27.777777777777786,regressed
retrieval_precision,higher_is_better,0.06761904761904763,60,0.04544372294372293,60,-0.022175324675324702,-32.79449423815624,regressed
retrieval_recall,higher_is_better,0.1696666065416066,60,0.06428945249597423,60,-0.10537715404563236,-62.10836427602575,regressed
activation_precision,higher_is_better,0.06761904761904763,60,0.04544372294372293,60,-0.022175324675324702,-32.79449423815624,regressed
activation_recall,higher_is_better,0.1696666065416066,60,0.06428945249597423,60,-0.10537715404563236,-62.10836427602575,regressed
tokens_per_query,lower_is_better,3086.766666666667,60,2622.3166666666666,60,-464.4500000000003,-15.046488774661738,improved
p95_latency,lower_is_better,128117.0,60,68848.0,60,-59269.0,-46.26162023775143,improved
provider_generation_latency_ms,lower_is_better,100779.01666666666,60,37025.21666666667,60,-63753.799999999996,-63.260986372659254,improved
retrieval_activation_latency_ms,lower_is_better,37.81666666666667,60,29.266666666666666,60,-8.550000000000004,-22.60907888937859,improved
processing_latency_ms,lower_is_better,100779.01666666666,60,37025.21666666667,60,-63753.799999999996,-63.260986372659254,improved
operational_wall_clock_latency_ms,lower_is_better,100816.83333333333,60,37054.48333333333,60,-63762.35,-63.245737732290074,improved
online_query_cost,lower_is_better,0.0006398650000000001,60,0.00056368,60,-7.61850000000001e-05,-11.906417759996263,improved
offline_csm_update_cost,lower_is_better,0.0,60,0.0,60,0.0,NULL,unchanged
total_cost,lower_is_better,0.03839190000000001,60,0.0338208,60,-0.0045711000000000085,-11.90641775999627,improved
memory_update_accuracy,higher_is_better,0.25833333333333336,12,0.17500000000000002,12,-0.08333333333333334,-32.25806451612903,regressed
state_recovery_time,lower_is_better,1.0,19,1.0,14,0.0,0.0,unchanged
