metric_name,direction,csm_v2_pooled_value,csm_v2_n,csm_v3_pooled_value,csm_v3_n,absolute_difference,relative_difference_percent,improved,regressed,unchanged,not_comparable,reason
state_accuracy,higher_is_better,0.041666666666666664,12,0.0,107.0,-0.041666666666666664,-100.0,False,True,False,False,NULL
temporal_consistency,higher_is_better,0.5,22,NULL,0,NULL,NULL,False,False,False,True,missing_generated_temporal_assertions; missing_temporal_ground_truth
decision_f1,higher_is_better,0.0,3,NULL,0,NULL,NULL,False,False,False,True,missing_predicted_decision_labels
answer_accuracy,higher_is_better,0.1392506690454951,59,0.0,107.0,-0.1392506690454951,-100.0,False,True,False,False,NULL
hallucination_rate,lower_is_better,0.05084745762711865,59,1.0,120.0,0.9491525423728814,1866.6666666666665,False,True,False,False,NULL
evidence_support_rate,higher_is_better,0.564366424535916,59,0.0,120.0,-0.564366424535916,-100.0,False,True,False,False,NULL
unsupported_claim_rate,lower_is_better,0.05084745762711865,59,1.0,120.0,0.9491525423728814,1866.6666666666665,False,True,False,False,NULL
fabricated_citation_rate,lower_is_better,0.0,57,0.4714285714285714,70.0,0.4714285714285714,NULL,False,True,False,False,NULL
faithfulness,higher_is_better,0.564366424535916,59,0.8916666666666667,120.0,0.3273002421307507,57.99427958526996,True,False,False,False,NULL
groundedness,higher_is_better,0.564366424535916,59,0.8916666666666667,120.0,0.3273002421307507,57.99427958526996,True,False,False,False,NULL
expected_calibration_error,lower_is_better,0.0986269841269841,54,0.8918181818181816,110.0,0.7931911976911975,804.2334506243735,False,True,False,False,NULL
lineage_citation_f1,higher_is_better,0.1409016422174317,57,0.2962962962962963,38.0,0.15539465407886457,110.28590698685261,True,False,False,False,NULL
contradiction_handling,higher_is_better,0.0,1,0.0,1.0,0.0,NULL,False,False,True,False,NULL
correction_recovery,higher_is_better,0.391304347826087,23,0.0,2.0,-0.391304347826087,-100.0,False,True,False,False,NULL
retrieval_precision,higher_is_better,0.06761904761904763,60,0.38333333333333336,60.0,0.3157142857142857,466.90140845070414,True,False,False,False,NULL
retrieval_recall,higher_is_better,0.1696666065416066,60,0.6052631578947368,38.0,0.43559655135313025,256.73676171881874,True,False,False,False,NULL
activation_precision,higher_is_better,0.06761904761904763,60,NULL,0,NULL,NULL,False,False,False,True,metric_not_present_in_csm_v3_evaluation_metric_results
activation_recall,higher_is_better,0.1696666065416066,60,NULL,0,NULL,NULL,False,False,False,True,metric_not_present_in_csm_v3_evaluation_metric_results
tokens_per_query,lower_is_better,3086.766666666667,60,2622.3166666666666,60.0,-464.4500000000003,-15.046488774661738,True,False,False,False,NULL
p95_latency,lower_is_better,128117.0,60,68853.25,60,-59263.75,-46.25752242091213,True,False,False,False,NULL
total_cost,lower_is_better,0.03839190000000001,60,0.0338208,60,-0.0045711000000000085,-11.90641775999627,True,False,False,False,NULL
memory_update_accuracy,higher_is_better,0.25833333333333336,12,NULL,0,NULL,NULL,False,False,False,True,missing_generated_state_transitions
state_recovery_time,lower_is_better,1.0,19,NULL,0,NULL,NULL,False,False,False,True,no_recovery_event
offline_csm_update_cost,lower_is_better,0.0,60,NULL,0,NULL,NULL,False,False,False,True,metric_not_present_in_csm_v3_evaluation_metric_results
online_query_cost,lower_is_better,0.0006398650000000001,60,NULL,0,NULL,NULL,False,False,False,True,metric_not_present_in_csm_v3_evaluation_metric_results
operational_wall_clock_latency_ms,lower_is_better,100816.83333333333,60,NULL,0,NULL,NULL,False,False,False,True,metric_not_present_in_csm_v3_evaluation_metric_results
processing_latency_ms,lower_is_better,100779.01666666666,60,NULL,0,NULL,NULL,False,False,False,True,metric_not_present_in_csm_v3_evaluation_metric_results
provider_generation_latency_ms,lower_is_better,100779.01666666666,60,NULL,0,NULL,NULL,False,False,False,True,metric_not_present_in_csm_v3_evaluation_metric_results
retrieval_activation_latency_ms,lower_is_better,37.81666666666667,60,NULL,0,NULL,NULL,False,False,False,True,metric_not_present_in_csm_v3_evaluation_metric_results
