metric_category,metric_name,direction,csm_v2_value,csm_v3_value,csm_v4_value,best_baseline,best_baseline_value,csm_v4_rank,v4_vs_v2_absolute_difference,v4_vs_v2_relative_difference_percent,v4_vs_v2_verdict,v4_vs_v3_absolute_difference,v4_vs_v3_relative_difference_percent,v4_vs_v3_verdict
STATE,state_accuracy,higher_is_better,0.041666666666666664,0.0,0.0,NULL,NULL,2,-0.041666666666666664,-100.0,regressed,0.0,NULL,unchanged
TEMPORAL,temporal_consistency,higher_is_better,0.5,0.4848484848484848,0.46969696969696967,rolling_summary,0.5606060606060607,7,-0.03030303030303033,-6.060606060606066,regressed,-0.015151515151515138,-3.124999999999998,regressed
QUALITY,decision_f1,higher_is_better,0.0,0.0,0.0,long_context,0.0,1,0.0,NULL,unchanged,0.0,NULL,unchanged
QUALITY,answer_accuracy,higher_is_better,0.1392506690454951,0.1054563492063492,0.167991822991823,graph_rag,0.1869953194953195,4,0.028741153946327896,20.639867760303375,improved,0.06253547378547379,59.29986601670516,improved
GROUNDING,hallucination_rate,lower_is_better,0.05084745762711865,0.11607142857142858,0.03333333333333333,graph_rag,0.0027777777777777775,5,-0.017514124293785314,-34.44444444444445,improved,-0.08273809523809525,-71.28205128205128,improved
GROUNDING,evidence_support_rate,higher_is_better,0.564366424535916,0.5044642857142857,0.6094444444444443,graph_rag,0.6440277777777779,4,0.04507801990852833,7.987367417471091,improved,0.10498015873015865,20.810226155358883,improved
GROUNDING,unsupported_claim_rate,lower_is_better,0.05084745762711865,0.11607142857142858,0.03333333333333333,graph_rag,0.0027777777777777775,5,-0.017514124293785314,-34.44444444444445,improved,-0.08273809523809525,-71.28205128205128,improved
GROUNDING,fabricated_citation_rate,lower_is_better,0.0,0.006666666666666666,0.0,long_context,0.0,1,0.0,NULL,unchanged,-0.006666666666666666,-100.0,improved
GROUNDING,faithfulness,higher_is_better,0.564366424535916,0.5044642857142857,0.6094444444444443,graph_rag,0.6440277777777779,4,0.04507801990852833,7.987367417471091,improved,0.10498015873015865,20.810226155358883,improved
GROUNDING,groundedness,higher_is_better,0.564366424535916,0.5044642857142857,0.6094444444444443,graph_rag,0.6440277777777779,4,0.04507801990852833,7.987367417471091,improved,0.10498015873015865,20.810226155358883,improved
QUALITY,expected_calibration_error,lower_is_better,0.0986269841269841,0.1389455782312925,0.1438694968553459,rolling_summary,0.07150326797385621,7,0.045242512728361786,45.872347338646385,regressed,0.004923918624053392,3.5437749705549506,regressed
GROUNDING,lineage_citation_f1,higher_is_better,0.1409016422174317,0.077129150419473,0.22939833388165815,hybrid_rag,0.3567046074124795,5,0.08849669166422644,62.80742386782347,improved,0.15226918346218515,197.4210562855381,improved
QUALITY,contradiction_handling,higher_is_better,0.0,0.0,0.0,long_context,0.0,1,0.0,NULL,unchanged,0.0,NULL,unchanged
TEMPORAL,correction_recovery,higher_is_better,0.391304347826087,0.2826086956521739,0.32608695652173914,rolling_summary,0.44565217391304346,7,-0.06521739130434784,-16.666666666666668,regressed,0.043478260869565244,15.384615384615397,improved
RETRIEVAL,retrieval_precision,higher_is_better,0.06761904761904763,0.04544372294372293,0.10121337869789884,hybrid_rag,0.17329899267399265,6,0.03359433107885121,49.68175722928699,improved,0.05576965575417591,122.72246229306634,improved
RETRIEVAL,retrieval_recall,higher_is_better,0.1696666065416066,0.06412037037037038,0.24624518999519,hybrid_rag,0.45015466015466016,5,0.0765785834535834,45.134741016231956,improved,0.1821248196248196,284.03581977589187,improved
RETRIEVAL,activation_precision,higher_is_better,0.06761904761904763,0.04544372294372293,0.10121337869789884,NULL,NULL,1,0.03359433107885121,49.68175722928699,improved,0.05576965575417591,122.72246229306634,improved
RETRIEVAL,activation_recall,higher_is_better,0.1696666065416066,0.06412037037037038,0.24624518999519,NULL,NULL,1,0.0765785834535834,45.134741016231956,improved,0.1821248196248196,284.03581977589187,improved
EFFICIENCY,tokens_per_query,lower_is_better,3086.766666666667,2622.3166666666666,3626.4666666666667,long_context,1579.2833333333333,9,539.6999999999998,17.484314763020627,regressed,1004.1500000000001,38.29247675401522,regressed
EFFICIENCY,p95_latency,lower_is_better,128117.0,68848.0,185454.0,long_context,42706.0,9,57337.0,44.75362364089075,regressed,116606.0,169.36730188240762,regressed
EFFICIENCY,provider_generation_latency_ms,lower_is_better,100779.01666666666,37025.21666666667,114549.25,long_context,24343.3,8,13770.233333333337,13.663790130915155,regressed,77524.03333333333,209.38171417407864,regressed
EFFICIENCY,retrieval_activation_latency_ms,lower_is_better,37.81666666666667,29.266666666666666,35.483333333333334,graph_rag,7.633333333333334,8,-2.3333333333333357,-6.170118995152055,improved,6.216666666666669,21.241457858769937,regressed
EFFICIENCY,processing_latency_ms,lower_is_better,100779.01666666666,37025.21666666667,114549.25,long_context,24343.3,8,13770.233333333337,13.663790130915155,regressed,77524.03333333333,209.38171417407864,regressed
EFFICIENCY,operational_wall_clock_latency_ms,lower_is_better,100816.83333333333,37054.48333333333,114584.73333333334,long_context,24351.55,8,13767.900000000009,13.656350377995746,regressed,77530.25,209.2331157408303,regressed
COST,online_query_cost,lower_is_better,0.0006398650000000001,0.00056368,0.0007236775000000003,long_context,0.0003835625000000001,9,8.381250000000023e-05,13.09846608268935,regressed,0.00015999750000000033,28.384455719557256,regressed
COST,offline_csm_update_cost,lower_is_better,0.0,0.0,0.0,NULL,NULL,1,0.0,NULL,unchanged,0.0,NULL,unchanged
COST,total_cost,lower_is_better,0.03839190000000001,0.0338208,0.04342065000000002,long_context,0.023013750000000006,9,0.005028750000000012,13.098466082689347,regressed,0.00959985000000002,28.384455719557263,regressed
STATE,memory_update_accuracy,higher_is_better,0.25833333333333336,0.17500000000000002,0.4666666666666666,hippo_rag,0.5499999999999999,2,0.20833333333333326,80.64516129032255,improved,0.29166666666666663,166.66666666666663,improved
STATE,state_recovery_time,lower_is_better,1.0,1.0,1.0,NULL,NULL,1,0.0,0.0,unchanged,0.0,0.0,unchanged
